country_name,date,parameter,product,value,unit
Brazil,2023-11-01,Net Electricity Production,Combustible Renewables,5659.2827,GWh
Brazil,2023-11-01,Net Electricity Production,Other Combustible Non-Renewables,139.9328,GWh
Brazil,2023-11-01,Net Electricity Production,Hydro,35143.3547,GWh
Brazil,2023-11-01,Net Electricity Production,Wind,7983.3842,GWh
Brazil,2023-11-01,Net Electricity Production,Solar,5139.0841,GWh
Brazil,2023-11-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",53925.1057,GWh
Peru,2023-11-01,Net Electricity Production,Electricity,5057.0173,GWh
Peru,2023-11-01,Net Electricity Production,Total Combustible Fuels,2415.8982,GWh
Peru,2023-11-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",27.6032,GWh
Peru,2023-11-01,Net Electricity Production,Oil and Petroleum Products,29.3912,GWh
Peru,2023-11-01,Net Electricity Production,Natural Gas,2300.3931,GWh
Peru,2023-11-01,Net Electricity Production,Combustible Renewables,58.5107,GWh
Peru,2023-11-01,Net Electricity Production,Hydro,2279.0628,GWh
Peru,2023-11-01,Net Electricity Production,Wind,251.7576,GWh
Peru,2023-11-01,Net Electricity Production,Solar,110.2988,GWh
Peru,2023-11-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2699.6299,GWh
Chile,2023-10-01,Net Electricity Production,Electricity,7484.6426,GWh
Chile,2023-10-01,Net Electricity Production,Total Combustible Fuels,2112.6656,GWh
Chile,2023-10-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",989.9296,GWh
Chile,2023-10-01,Net Electricity Production,Oil and Petroleum Products,11.872,GWh
Chile,2023-10-01,Net Electricity Production,Natural Gas,693.0206,GWh
Chile,2023-10-01,Net Electricity Production,Combustible Renewables,417.8433,GWh
Chile,2023-10-01,Net Electricity Production,Hydro,2903.4298,GWh
Chile,2023-10-01,Net Electricity Production,Wind,1009.7075,GWh
Chile,2023-10-01,Net Electricity Production,Solar,1420.9448,GWh
Chile,2023-10-01,Net Electricity Production,Geothermal,37.8949,GWh
Chile,2023-10-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5789.8204,GWh
Chile,2023-10-01,Distribution Losses,Electricity,358.7156,GWh
Chile,2023-10-01,Final Consumption (Calculated),Electricity,7125.927,GWh
Colombia,2023-10-01,Net Electricity Production,Electricity,7663.4186,GWh
Colombia,2023-10-01,Net Electricity Production,Total Combustible Fuels,3744.0122,GWh
Colombia,2023-10-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",1180.2385,GWh
Colombia,2023-10-01,Net Electricity Production,Oil and Petroleum Products,380.0063,GWh
Colombia,2023-10-01,Net Electricity Production,Natural Gas,2002.3546,GWh
Colombia,2023-10-01,Net Electricity Production,Combustible Renewables,181.4128,GWh
Colombia,2023-10-01,Net Electricity Production,Hydro,3866.7257,GWh
Colombia,2023-10-01,Net Electricity Production,Wind,0.2378,GWh
Colombia,2023-10-01,Net Electricity Production,Solar,52.4429,GWh
Colombia,2023-10-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",4100.8193,GWh
Colombia,2023-10-01,Total Imports,Electricity,0.1353,GWh
Colombia,2023-10-01,Total Exports,Electricity,149.9608,GWh
Colombia,2023-10-01,Distribution Losses,Electricity,406.1438,GWh
Colombia,2023-10-01,Final Consumption (Calculated),Electricity,7107.4494,GWh
Costa Rica,2023-10-01,Remarks,Data is estimated for this month,,GWh
Costa Rica,2023-10-01,Net Electricity Production,Electricity,972.1071,GWh
Costa Rica,2023-10-01,Net Electricity Production,Total Combustible Fuels,1.3929,GWh
Costa Rica,2023-10-01,Net Electricity Production,Oil and Petroleum Products,1.3006,GWh
Costa Rica,2023-10-01,Net Electricity Production,Combustible Renewables,0.0923,GWh
Costa Rica,2023-10-01,Net Electricity Production,Hydro,813.4837,GWh
Costa Rica,2023-10-01,Net Electricity Production,Wind,33.7121,GWh
Costa Rica,2023-10-01,Net Electricity Production,Solar,6.6266,GWh
Costa Rica,2023-10-01,Net Electricity Production,Geothermal,116.8918,GWh
Costa Rica,2023-10-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",970.8066,GWh
Costa Rica,2023-10-01,Final Consumption (Calculated),Electricity,972.1071,GWh
Mexico,2023-10-01,Net Electricity Production,Electricity,34525.0226,GWh
Mexico,2023-10-01,Net Electricity Production,Nuclear,538.4625,GWh
Mexico,2023-10-01,Net Electricity Production,Total Combustible Fuels,29107.5528,GWh
Mexico,2023-10-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",2416.3659,GWh
Mexico,2023-10-01,Net Electricity Production,Oil and Petroleum Products,5104.0365,GWh
Mexico,2023-10-01,Net Electricity Production,Natural Gas,21452.5628,GWh
Mexico,2023-10-01,Net Electricity Production,Combustible Renewables,23.2767,GWh
Mexico,2023-10-01,Net Electricity Production,Other Combustible Non-Renewables,111.311,GWh
Mexico,2023-10-01,Net Electricity Production,Hydro,1460.7305,GWh
Mexico,2023-10-01,Net Electricity Production,Wind,1754.7809,GWh
Mexico,2023-10-01,Net Electricity Production,Solar,1182.3188,GWh
Mexico,2023-10-01,Net Electricity Production,Geothermal,316.4271,GWh
Mexico,2023-10-01,Net Electricity Production,Not Specified,164.75,GWh
Mexico,2023-10-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",4737.534,GWh
Mexico,2023-10-01,Total Imports,Electricity,540.037,GWh
Mexico,2023-10-01,Total Exports,Electricity,200.8844,GWh
Mexico,2023-10-01,Distribution Losses,Electricity,3305.0466,GWh
Mexico,2023-10-01,Final Consumption (Calculated),Electricity,31559.1285,GWh
Argentina,2023-10-01,Net Electricity Production,Electricity,9363.0944,GWh
Argentina,2023-10-01,Net Electricity Production,Nuclear,864.0784,GWh
Argentina,2023-10-01,Net Electricity Production,Total Combustible Fuels,4407.4518,GWh
Argentina,2023-10-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",10.2734,GWh
Argentina,2023-10-01,Net Electricity Production,Oil and Petroleum Products,32.5702,GWh
Argentina,2023-10-01,Net Electricity Production,Natural Gas,4181.1079,GWh
Argentina,2023-10-01,Net Electricity Production,Combustible Renewables,183.5002,GWh
Argentina,2023-10-01,Net Electricity Production,Hydro,2446.2516,GWh
Argentina,2023-10-01,Net Electricity Production,Wind,1303.7179,GWh
Argentina,2023-10-01,Net Electricity Production,Solar,341.5948,GWh
Argentina,2023-10-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",4275.0645,GWh
Brazil,2023-10-01,Net Electricity Production,Electricity,60725.507,GWh
Brazil,2023-10-01,Net Electricity Production,Nuclear,339.1858,GWh
Brazil,2023-10-01,Net Electricity Production,Total Combustible Fuels,10642.7224,GWh
Brazil,2023-10-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",1431.4935,GWh
Brazil,2023-10-01,Net Electricity Production,Oil and Petroleum Products,622.6187,GWh
Brazil,2023-10-01,Net Electricity Production,Natural Gas,2168.7848,GWh
Brazil,2023-10-01,Net Electricity Production,Combustible Renewables,6279.8926,GWh
Brazil,2023-10-01,Net Electricity Production,Other Combustible Non-Renewables,139.9328,GWh
Brazil,2023-10-01,Net Electricity Production,Hydro,35197.6568,GWh
Brazil,2023-10-01,Net Electricity Production,Wind,9699.1315,GWh
Brazil,2023-10-01,Net Electricity Production,Solar,4846.8105,GWh
Brazil,2023-10-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",56023.4914,GWh
Peru,2023-10-01,Net Electricity Production,Electricity,5207.6963,GWh
Peru,2023-10-01,Net Electricity Production,Total Combustible Fuels,2804.5891,GWh
Peru,2023-10-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",31.4333,GWh
Peru,2023-10-01,Net Electricity Production,Oil and Petroleum Products,33.4694,GWh
Peru,2023-10-01,Net Electricity Production,Natural Gas,2673.0567,GWh
Peru,2023-10-01,Net Electricity Production,Combustible Renewables,66.6296,GWh
Peru,2023-10-01,Net Electricity Production,Hydro,2053.4478,GWh
Peru,2023-10-01,Net Electricity Production,Wind,239.7291,GWh
Peru,2023-10-01,Net Electricity Production,Solar,109.9303,GWh
Peru,2023-10-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2469.7368,GWh
Chile,2023-09-01,Net Electricity Production,Electricity,7502.0961,GWh
Chile,2023-09-01,Net Electricity Production,Total Combustible Fuels,2299.8016,GWh
Chile,2023-09-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",972.7458,GWh
Chile,2023-09-01,Net Electricity Production,Oil and Petroleum Products,18.3809,GWh
Chile,2023-09-01,Net Electricity Production,Natural Gas,865.1566,GWh
Chile,2023-09-01,Net Electricity Production,Combustible Renewables,443.5182,GWh
Chile,2023-09-01,Net Electricity Production,Hydro,3054.0114,GWh
Chile,2023-09-01,Net Electricity Production,Wind,959.6166,GWh
Chile,2023-09-01,Net Electricity Production,Solar,1152.8835,GWh
Chile,2023-09-01,Net Electricity Production,Geothermal,35.7831,GWh
Chile,2023-09-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5645.8128,GWh
Chile,2023-09-01,Distribution Losses,Electricity,357.9708,GWh
Chile,2023-09-01,Final Consumption (Calculated),Electricity,7144.1253,GWh
Colombia,2023-09-01,Net Electricity Production,Electricity,7706.9083,GWh
Colombia,2023-09-01,Net Electricity Production,Total Combustible Fuels,3545.4078,GWh
Colombia,2023-09-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",1201.3816,GWh
Colombia,2023-09-01,Net Electricity Production,Oil and Petroleum Products,246.2331,GWh
Colombia,2023-09-01,Net Electricity Production,Natural Gas,1916.38,GWh
Colombia,2023-09-01,Net Electricity Production,Combustible Renewables,181.4131,GWh
Colombia,2023-09-01,Net Electricity Production,Hydro,4099.3528,GWh
Colombia,2023-09-01,Net Electricity Production,Wind,4.5232,GWh
Colombia,2023-09-01,Net Electricity Production,Solar,57.6244,GWh
Colombia,2023-09-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",4342.9135,GWh
Colombia,2023-09-01,Total Imports,Electricity,0.1413,GWh
Colombia,2023-09-01,Total Exports,Electricity,189.847,GWh
Colombia,2023-09-01,Distribution Losses,Electricity,407.1005,GWh
Colombia,2023-09-01,Final Consumption (Calculated),Electricity,7110.1022,GWh
Costa Rica,2023-09-01,Remarks,Data is estimated for this month,,GWh
Costa Rica,2023-09-01,Net Electricity Production,Electricity,911.0392,GWh
Costa Rica,2023-09-01,Net Electricity Production,Total Combustible Fuels,1.6896,GWh
Costa Rica,2023-09-01,Net Electricity Production,Oil and Petroleum Products,1.5973,GWh
Costa Rica,2023-09-01,Net Electricity Production,Combustible Renewables,0.0923,GWh
Costa Rica,2023-09-01,Net Electricity Production,Hydro,677.6093,GWh
